"2019-12-03 00:04:03 [restartedMain] INFO  com.pandas.Maincontroller - Starting Maincontroller on FX-PRO with PID 14116 (D:\JavaIDEA\IDEA\WorkSpaces\java_Frame\SpringBoot\springboot_mybatis\target\classes started by xiaochen in D:\JavaIDEA\IDEA\WorkSpaces\java_Frame\SpringBoot\springboot_mybatis)
""2019-12-03 00:04:03 [restartedMain] INFO  com.pandas.Maincontroller - No active profile set, falling back to default profiles: default
""2019-12-03 00:04:03 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2019-12-03 00:04:03 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2019-12-03 00:04:05 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-12-03 00:04:05 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-12-03 00:04:05 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
""2019-12-03 00:04:05 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
""2019-12-03 00:04:05 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
""2019-12-03 00:04:05 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
""2019-12-03 00:04:05 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
""2019-12-03 00:04:05 [restartedMain] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
""2019-12-03 00:04:05 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-12-03 00:04:05 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
""2019-12-03 00:04:05 [restartedMain] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
""2019-12-03 00:04:06 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-12-03 00:04:06 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2019-12-03 00:04:06 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2019-12-03 00:04:06 [restartedMain] INFO  com.pandas.Maincontroller - Started Maincontroller in 3.614 seconds (JVM running for 5.415)
""2019-12-03 00:04:23 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
"
